target,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,13.01,3.66,2.21,16.53,98.87,2.46,2.34,0.28,1.49,3.69,0.75,2.79,588.86
0,13.13,1.14,2.32,18.75,108.51,2.63,2.26,0.13,2.15,5.03,0.86,2.66,954.8
0,12.57,1.06,1.88,10.41,83.5,2.35,2.68,0.1,2.57,5.82,0.98,2.49,962.49
0,13.08,0.79,2.32,11.7,86.91,2.63,2.57,0.05,1.14,3.14,0.65,2.86,784.26
0,14.04,2.12,2.6,17.51,120.6,2.58,2.48,0.31,1.23,4.98,1.05,3.56,1286.11
0,12.66,0.84,1.92,14.38,82.79,1.91,1.41,0.17,0.9,2.13,0.84,2.21,1037.74
0,13.67,3.23,2.32,10.94,118.34,2.58,2.36,0.12,1.69,3.53,0.74,3.05,547.11
0,12.63,0.72,2.36,12.96,79.57,2.26,2,0.22,0.91,2.62,0.71,2.55,898.98
0,14.06,0.78,2.16,8.55,78.81,2.57,2.84,0.32,2.32,3.42,1.05,2.12,881.34
0,13.44,1.28,2.44,13.19,93.25,2.91,3.02,0.1,1.39,4.17,0.76,3.17,924.06
0,13.52,0.88,2.15,14.6,92,2.72,2.73,0.17,1.61,6.25,0.91,3.25,912.7
0,14.2,3.34,2.22,15.25,98.79,3.11,2.95,0.24,2.06,4.38,0.99,3.28,994.23
0,13.81,1.55,2.09,15.62,99.36,3.03,3.28,0.2,2.07,5.83,0.88,3.25,948.83
0,13.29,0.88,2.54,17.55,123.65,2.58,2.16,0.43,1.02,4.04,1.12,2.58,1050.82
0,14.02,3.77,2.37,18.1,107.58,2.7,2.41,0.27,1.11,4.68,0.82,3.16,1004.55
0,13.35,1.35,2.28,18.17,102.01,2.69,2.91,0.19,1.79,6.25,1.03,2.68,1426.97
0,13.64,1.38,2.53,16.4,90.59,2.3,2.75,0.19,2.15,5.05,1.19,3.2,1189.73
0,13.98,3.04,2.14,14.36,94.97,2.94,2.68,0.21,1.91,3.76,0.93,3.09,909.9
0,12.93,1.31,2.05,14.93,95.55,2.29,2.47,0.26,1.27,3.3,1.14,2.57,965.99
0,12.73,1.77,2.52,16.83,93.45,2.47,2.71,0.23,2.51,4.45,0.91,2.79,1018.44
0,13.69,1.45,2.69,22.36,100.38,2.97,3.21,0.28,2.36,5.6,1.18,2.68,1271.34
0,12.46,0.95,1.9,14.55,96.53,2.54,2.27,0.19,1.61,3.34,0.71,2.83,654.26
0,12.72,0.93,1.95,14.63,83.87,1.96,1.48,0.18,0.94,2.31,0.86,2.27,1061.65
0,13.61,1.01,2.13,14.13,118.02,2.65,2.61,0.17,1.78,4.35,0.96,3.31,604.04
0,13.96,1.33,2.34,14.47,122.19,2.59,2.72,0.24,2.1,4.86,0.96,3.68,958.92
0,12.27,0.81,2.32,15.43,84.85,2.04,1.66,0.17,1.05,2.28,0.93,3.13,791.16
0,13.48,1.1,1.98,14.26,93.58,2.77,2.87,0.15,1.84,4.89,0.79,2.96,821.31
0,13.75,0.99,2.23,11.98,84.8,2.01,1.74,0.2,1.53,3.43,0.84,3.02,1042.96
0,13.59,2.5,2.01,12.75,88.09,2.64,2.2,0.15,1.63,2.64,0.82,2.75,758.23
0,13,0.84,2.42,13.94,101.5,2.41,1.85,0.27,1.14,4.11,0.91,2.26,1077.35
0,13.05,1.65,2.55,18,97.98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1104.58
0,13.6,0.93,2.25,12.73,101.45,2.81,2.65,0.25,1.55,5.04,0.88,2.33,1217.41
0,13.13,1.12,2.16,14.43,109.42,2.82,2.76,0.27,2.04,4.9,0.83,3,627.96
0,12.63,1.63,2.49,16.42,91.69,2.39,2.59,0.22,2.44,4.17,0.88,2.71,979.72
0,13.7,1.1,2.52,17.54,109.46,2.34,2.4,0.24,1.55,4.49,0.9,2.13,1047.66
0,13.26,1.01,2.09,14.44,109.6,2.23,2.31,0.14,1.28,4.49,0.79,2.78,874.75
0,12.76,0.79,2.36,16.96,82.99,1.96,1.7,0.17,1.14,1.41,0.91,3.17,558.14
0,13.58,0.91,2.24,12.66,101.14,2.79,2.63,0.25,1.53,4.99,0.88,2.31,1210.55
0,13.24,1.29,2.35,19.18,110.34,2.71,2.38,0.15,2.22,5.33,0.89,2.75,995.24
0,12.58,3.32,2.53,17.16,95.83,2.14,1.98,0.2,1.73,3.5,0.93,3.21,633.99
0,13.92,1.24,2.22,10.1,93.89,2.94,3.07,0.22,2.63,6.18,1.07,2.6,1368.08
0,12.99,1.97,3.2,24.75,122.93,2.58,2.61,0.46,1.88,3.41,1.11,3.15,806.41
0,13.95,1.99,2.57,17.13,119.01,2.51,2.37,0.29,1.17,4.73,1.03,3.48,1251.14
0,13.48,0.94,2.03,13.8,86.58,2.24,1.67,0.18,1.6,3.17,0.89,3.12,827.35
0,14.47,1.35,2.3,10.27,86.15,2.89,3.35,0.39,2.62,4.61,1.17,2.49,1043.1
0,13.7,1.13,2.21,15.33,95.13,2.85,2.95,0.19,1.73,6.75,0.96,3.41,981.69
0,13.26,1.22,2.25,17.78,100.35,2.61,2.79,0.17,1.72,5.98,1,2.6,1390.35
0,12.31,1.03,2.97,21.94,110.9,2.06,1.76,0.36,1.4,1.45,0.92,2.55,541.18
0,13.8,1.28,2.19,14.95,121.51,2.8,2.86,0.2,1.92,4.92,1.02,3.49,681.08
0,13.29,0.82,2.44,17.77,105.48,2.53,2.73,0.32,1.34,5.05,0.98,2.1,919.99
0,13.5,1.78,2.65,18.95,109.79,2.34,2.52,0.29,1.53,4.17,1.1,2.86,1090.34
0,13.54,1.63,2.31,16.61,101.46,2.31,2.51,0.4,1.87,3.43,1.19,2.74,933.96
0,13.07,1.35,2.77,14.64,106.32,2.44,2.42,0.31,1.21,4,1.03,2.6,798.96
0,12.93,2.05,2.59,17.67,97,2.62,2.96,0.27,2.65,5.03,0.97,2.97,1096.91
0,12.59,1.42,3.07,23.12,115.96,2.28,2.12,0.4,1.6,2.27,1,2.8,652.64
0,13.07,1.35,2.77,14.64,106.33,2.44,2.42,0.31,1.21,4.01,1.03,2.6,799.18
0,13.1,0.57,2.29,14.13,97.01,2.92,2.9,0.09,1.6,5.02,0.71,2.32,1042.79
0,13.53,1.62,2.31,16.57,101.29,2.3,2.5,0.4,1.86,3.4,1.19,2.74,930.24
0,13.78,3.45,2.29,17.13,103.44,2.52,2.12,0.23,0.95,4.01,0.75,2.95,913.38
0,13.24,0.98,2.08,14.34,109.18,2.21,2.28,0.13,1.27,4.42,0.78,2.76,865.63
0,13.08,0.82,2.53,16.17,93.19,2.34,2,0.25,1.21,2.26,1.03,2.71,610.41
0,13.59,0.92,2.24,12.69,101.28,2.8,2.64,0.25,1.54,5.01,0.88,2.32,1213.74
0,13.2,1.51,2.56,15.32,89.65,2.7,2.71,0.31,1.32,4.26,0.87,3.05,1121.13
0,14.15,3.9,2.49,12.92,126.8,2.95,2.96,0.19,2.03,4.9,0.87,3.47,733.44
0,13.2,0.79,2.39,14.62,82.97,1.97,2.22,0.12,1.85,3.81,1.06,2.82,1021.76
0,12.89,0.79,2.08,13.46,105.26,2.64,2.47,0.24,1.87,4.22,0.76,2.8,536.19
0,12.51,0.98,1.86,10.17,82.46,2.3,2.6,0.09,2.53,5.65,0.97,2.44,939.74
0,13.61,1.33,2.65,18.9,129.43,2.84,2.56,0.48,1.25,4.98,1.21,2.87,1178.36
0,13.12,1.26,2.52,17.4,103.15,2.05,2.05,0.23,1.27,3.09,0.99,2.53,943.89
0,13.04,1.01,2.28,18.36,106.84,2.56,2.14,0.12,2.08,4.76,0.83,2.57,918.02
0,13.48,1.09,2.42,15.69,103.69,3.21,3.37,0.15,1.87,6.1,0.82,2.66,1189.98
0,13.67,1.36,2.48,16.49,107.12,3.36,3.61,0.18,2,6.66,0.88,2.83,1265.54
0,14.06,1.4,2.3,16.55,93.94,2.15,2.36,0.25,1.53,4.83,1.15,2.77,1256.68
0,14.36,1.94,2.5,16.77,112.86,3.84,3.48,0.24,2.17,7.78,0.86,3.44,1476.98
0,13.17,1.39,2.31,19.23,94.57,2.46,2.6,0.21,1.64,4.22,0.95,3.2,800.28
0,13.48,0.6,2.1,14.16,83.7,1.7,1.64,0.16,1.12,3.17,0.99,2.26,1030.86
0,14.01,1.45,2.38,15.31,106.64,3.57,3.05,0.18,1.93,6.77,0.76,3.13,1339.8
0,13.15,1.15,2.17,14.53,109.87,2.84,2.79,0.28,2.05,4.97,0.84,3.03,637.75
0,12.73,0.78,2.16,17.41,86.79,2.12,2.06,0.14,1.33,2.96,0.83,2.81,628.82
0,13.65,1.79,2.35,17.09,103.54,2.4,2.66,0.42,1.95,3.77,1.22,2.85,979.93
0,13.72,1.61,2.38,13.57,109.17,3.8,3.61,0.3,1.8,6.75,0.98,3.17,1149.55
0,13.11,1.46,2.08,16.22,90.68,2.25,1.96,0.24,1.22,3.41,0.97,2.6,1211.79
0,12.31,1.03,2.97,21.94,110.93,2.06,1.77,0.36,1.4,1.46,0.92,2.55,541.74
0,13.97,1.5,2.25,15.62,124.39,2.93,3.06,0.23,2.04,5.39,1.06,3.63,744.56
0,14.5,1.18,2.06,12.64,91.17,2.54,2.57,0.24,1.75,4.25,0.99,2.56,916.56
0,14.33,1.81,2.36,11.81,101.21,3.27,3.58,0.28,2.93,7.37,1.19,2.96,1529.51
0,13.3,1.06,2.03,14.72,90.98,2.34,2.34,0.1,1.82,3.47,1.03,2.47,1200.93
0,13.49,1.1,2.51,18.61,109.05,2.69,2.98,0.35,1.48,5.63,1.03,2.27,998.88
0,12.25,2.86,2.42,15.8,90.01,1.88,1.57,0.15,1.5,2.55,0.84,2.92,505.54
0,13.69,0.91,2.21,11.72,83.69,1.96,1.66,0.19,1.49,3.25,0.82,2.97,1018.64
0,13.94,1.36,2.36,15.05,105.5,3.52,2.97,0.17,1.88,6.58,0.74,3.08,1314.57
0,13.6,3.2,2.23,16.4,100.32,2.38,1.9,0.21,0.82,3.51,0.7,2.8,844.59
0,14.04,1.56,2.63,18.91,115.35,2.6,2.81,0.29,1.78,5.45,1,2.42,1177.52
0,12.65,3.41,2.56,17.45,97.07,2.19,2.06,0.21,1.78,3.7,0.95,3.27,661.2
0,13.26,2.58,2.43,13.66,109.39,2.41,2.57,0.11,1.4,4.03,0.85,3.03,699.35
0,12.64,1.09,2.41,16.32,90.83,2.14,1.93,0.23,1.15,3.09,1.01,2.15,946.85
0,13.87,3.5,2.39,11.75,121.79,2.73,2.61,0.15,1.83,4.09,0.79,3.22,623.16
0,13.8,1.54,2.22,16.82,105.53,2.77,3.37,0.3,1.98,8.5,1.08,2.98,1205.6
0,12.77,0.94,2.67,13.41,101.06,2.21,2.05,0.26,1,3.15,0.95,2.34,682.96
0,12.76,1.37,2,15.8,101.87,2.78,2.64,0.24,1.82,4.21,0.8,3.09,771.89
0,13,1.66,2.02,12.18,91.05,2.68,3.2,0.16,2.87,7.05,1.1,2.86,1129
0,14.1,0.83,2.17,8.72,79.55,2.6,2.89,0.33,2.35,3.54,1.07,2.16,897.61
0,13.47,1.77,2.6,19.87,95.46,2.51,2.57,0.28,1.64,3.43,1.11,3.79,833.06
0,13.92,1.7,2.26,17.31,107.6,2.86,3.51,0.32,2.06,8.84,1.11,3.08,1251.18
0,12.59,3.09,2.07,14.84,91.61,2.14,1.83,0.22,1.2,2.51,0.64,2.43,428.85
0,13.49,1.37,2.32,14.91,84.35,2.4,2.44,0.25,1.62,4.85,1.08,2.67,1217.57
0,13.81,1.76,2.2,16.81,99.92,2.73,2.97,0.18,2.18,4.93,1.17,2.92,1398.08
0,14.04,3.12,2.16,14.6,96.01,2.99,2.75,0.22,1.95,3.93,0.94,3.14,932.9
0,13.62,1.29,2.47,16.28,106.21,3.32,3.55,0.17,1.97,6.51,0.86,2.78,1245.61
0,13.51,1.35,2.1,15.59,94.69,2.5,2.6,0.13,1.97,4.08,1.09,2.66,1282.78
0,12.81,1.44,2.02,16.03,102.84,2.82,2.71,0.24,1.86,4.37,0.81,3.14,793.34
0,13.66,1.4,2.67,19.1,130.3,2.88,2.62,0.49,1.28,5.12,1.22,2.92,1197.52
0,13.06,1.23,2.27,18.78,92.63,2.38,2.46,0.2,1.56,3.9,0.92,3.1,757.5
0,13.4,1.68,2.58,19.61,94.32,2.46,2.49,0.27,1.59,3.25,1.09,3.74,807.95
0,13.1,1.39,2.78,14.74,106.76,2.46,2.45,0.31,1.23,4.07,1.04,2.62,808.61
0,14.05,1.4,2.43,15.92,105.52,3.19,3.76,0.3,1.76,8.3,1.19,2.7,1625.38
0,13.72,1.02,2.13,14.26,109.27,2.82,2.39,0.18,1.68,4.96,0.8,2.88,777.45
0,12.31,0.71,1.79,9.36,78.99,2.15,2.36,0.06,2.39,5.09,0.91,2.26,863.04
0,13.06,0.78,2.18,13.17,76.89,2.07,1.91,0.18,1.32,3.63,0.96,2.3,1053.05
0,13.67,1.57,2.22,16.09,116.68,2.54,2.81,0.2,1.57,5.64,0.9,3.13,1030.99
0,13.02,1.59,2.59,15.68,97.21,2.79,2.89,0.27,1.47,5.22,0.99,2.6,1164.28
0,13.85,1.67,2.31,17.75,98.53,2.55,2.61,0.28,2.2,5.47,1,2.53,961.39
0,12.85,1.3,2.02,9.76,93.83,2.38,2.33,0.21,1.03,3.38,0.95,3.09,913.9
0,13.66,3.28,2.25,16.64,101.34,2.43,1.97,0.22,0.86,3.67,0.72,2.85,867.01
0,13.01,3.29,1.99,17.16,82.99,2.14,2.19,0.21,1.2,3.14,0.8,2.65,880.52
0,13.01,0.9,2.12,13.74,88.76,2.07,2.02,0.16,1.2,1.81,0.91,3.39,765.09
0,13.27,2.59,2.43,13.67,109.47,2.41,2.57,0.11,1.4,4.04,0.86,3.04,701.02
0,13.71,1.68,2.4,15.84,88.32,2.57,2.71,0.28,1.78,5.49,1.14,2.87,1305.11
0,12.62,2.76,1.85,15.56,76.13,1.84,1.71,0.15,0.92,2.03,0.69,2.31,729.21
0,13.02,2.17,2.62,18.03,98.56,2.69,3.07,0.28,2.71,5.28,0.99,3.05,1131.31
0,13.16,1.16,2.54,15.26,103.71,2.49,2.33,0.23,1.13,5.95,1.15,2.47,1127.19
0,13.49,1.38,2.67,17.85,100.37,2.66,2.51,0.31,1.49,3.42,1.14,3.07,768.82
0,13.24,1.27,2.57,15.58,105.08,2.55,2.43,0.24,1.18,6.18,1.17,2.54,1157.48
0,13.08,0.73,2.17,10.96,97.99,3.31,2.83,0.21,1.35,4.94,0.8,2.61,903.15
0,13.93,1.23,2.39,15.42,103.37,3.1,3.61,0.28,1.67,7.95,1.16,2.59,1577.84
0,13.52,0.73,2.19,12.67,114.49,2.25,2.19,0.17,1.79,3.61,0.84,3.3,789.16
0,13.28,1.27,2.22,14.85,93.52,2.28,2.36,0.2,1.39,2.59,0.99,3.63,870.01
0,12.54,0.77,1.92,13.31,88.64,1.99,1.99,0.2,1,2.18,1.03,2.22,813.71
0,13.48,1.16,2.62,21.47,96.59,2.81,2.94,0.25,2.2,4.98,1.12,2.49,1187.75
0,12.89,3.49,2.17,16.05,96.78,2.37,2.2,0.27,1.41,3.35,0.72,2.69,542.87
0,13.66,0.92,2.24,13.25,116.94,2.36,2.36,0.19,1.89,4.01,0.88,3.42,843.21
0,12.69,2.84,1.88,15.82,77.26,1.89,1.79,0.16,0.97,2.21,0.71,2.37,754.15
0,12.95,1.5,2.57,15.41,96.04,2.74,2.81,0.26,1.42,5.03,0.97,2.54,1138.67
0,13.78,3.38,2.36,11.38,120.21,2.66,2.5,0.13,1.77,3.84,0.77,3.14,588.23
0,13.95,2,2.57,17.16,119.1,2.52,2.38,0.29,1.17,4.74,1.03,3.49,1253.06
0,13.38,1.67,2.38,20.09,98.25,2.62,2.86,0.24,1.79,4.82,1.01,3.38,881.39
0,13.34,0.95,2.56,17.77,124.59,2.63,2.22,0.44,1.05,4.2,1.13,2.63,1071.63
0,13.94,1.57,2.18,15.67,94.6,2.59,2.23,0.25,1.92,4.47,1.02,3.52,1004.21
0,13.19,2.48,2.41,13.34,108.06,2.35,2.47,0.1,1.34,3.81,0.83,2.97,669.92
0,12.91,3.52,2.18,16.14,97.17,2.38,2.22,0.27,1.43,3.41,0.73,2.71,551.39
0,13.6,1.71,2.32,16.14,99.05,2.52,2.74,0.25,1.61,3.48,1.08,3.9,991.9
0,13.93,1.93,2.24,17.3,102.01,2.82,3.11,0.19,2.26,5.26,1.2,3.02,1443.97
0,12.44,1.49,2.6,17.7,103.89,2.18,1.7,0.27,1.25,2.03,0.81,2.23,423.88
0,14.13,1.5,2.46,16.23,106.86,3.25,3.85,0.31,1.81,8.51,1.21,2.76,1654.83
0,13.81,1.82,2.78,19.16,105.95,2.9,2.9,0.36,1.72,4.33,1.23,3.35,891.94
0,13.62,1.55,2.71,18.35,102.52,2.75,2.66,0.33,1.58,3.77,1.18,3.18,816.21
0,13.59,1.31,2.65,21.94,98.62,2.9,3.08,0.27,2.28,5.31,1.15,2.59,1232.53
0,12.51,1.14,2.41,16.42,89.09,2.22,1.96,0.21,1.22,2.97,1,3.34,884.63
0,12.75,0.96,1.95,14.74,84.34,1.98,1.51,0.19,0.96,2.38,0.87,2.29,1071.96
0,13.77,1.04,2.17,9.5,91.33,2.83,2.89,0.2,2.53,5.77,1.03,2.47,1311.67
0,13.86,1.87,2.54,16.77,117.44,2.44,2.26,0.28,1.11,4.47,1,3.4,1216.53
0,13.57,1.62,2.61,16.27,111.47,2.85,2.54,0.36,1.54,5.73,1.07,2.75,1297.08
0,13.16,0.91,2.21,13.56,78.56,2.14,2.03,0.2,1.39,3.91,0.98,2.38,1089.9
0,14.69,1.64,2.37,11.14,89.89,3.05,3.61,0.42,2.77,5.22,1.23,2.67,1125.53
0,12.83,0.99,2.43,13.78,83.08,2.42,2.25,0.25,1.05,3.19,0.76,2.73,976.36
0,13.94,1.36,2.36,15.04,105.46,3.52,2.96,0.17,1.88,6.58,0.74,3.08,1313.74
0,13.41,1.51,2.63,16.29,108.1,2.68,2.64,0.27,1.3,6.67,1.22,2.69,1224.04
0,14.19,1.77,2.68,19.56,118.1,2.72,3.01,0.31,1.89,5.89,1.04,2.56,1238.22
0,13.08,1.67,2.61,15.92,98.22,2.83,2.97,0.28,1.51,5.39,1.01,2.65,1186.67
0,13.74,1.53,2.28,17.33,96.71,2.47,2.48,0.27,2.13,5.18,0.97,2.44,921.38
0,12.47,1.07,2.39,16.23,88.28,2.19,1.9,0.2,1.19,2.84,0.98,3.3,866.77
0,13.44,1.03,2.49,18.39,108.14,2.65,2.92,0.34,1.44,5.49,1.02,2.23,978.65
0,12.91,1.38,2.04,10,94.88,2.43,2.4,0.22,1.07,3.55,0.97,3.15,937.02
0,13.91,1.2,2.25,15.95,91.38,2.04,2.18,0.23,1.43,4.41,1.11,2.64,1200.25
0,12.57,0.97,2.44,13.82,89.27,2.44,2.34,0.2,1.15,3.93,0.87,2.21,989.25
1,13.05,0.4,2.4,21.68,71.79,2.33,1.87,0.09,1.3,1.07,1.13,2.45,96.79
1,12.35,1.14,1.91,19.52,77.65,2.09,1.98,0.27,1.03,4.62,1.11,3.46,502.23
1,11.45,1.76,2.22,17.3,95.02,2.89,2.05,0.14,1.23,2.77,1.11,2.81,279.36
1,12.31,2.79,1.82,14.09,71.84,1.27,0.68,0.36,0.5,2.07,0.57,1.71,191.98
1,11.63,1.47,2,18.76,76.16,1.07,0.87,0.54,0.87,0.45,0.64,2.61,9.8
1,11.68,2.57,2.89,19.66,101.54,1.69,1.93,0.59,0.99,3.56,1.21,2.43,574.84
1,11.6,0.45,1.75,13.14,72.77,2.01,1.65,0.18,1.28,0.92,1.03,2.13,158.45
1,11.89,0.88,1.77,17.95,74.07,1.72,1.16,0.22,1.04,1.17,0.87,3.03,431.07
1,12.09,1.15,2.08,21.12,102.11,1.74,1.68,0.29,1.37,1.1,0.97,2.67,215.07
1,12.92,3.68,2.28,21.96,82.71,1.55,1.43,0.59,1.53,4.43,0.8,1.9,464.55
1,11.68,2.33,2,15.49,77.25,2.38,2.24,0.36,2.38,0.55,1.25,2.3,168.88
1,11.32,0.08,2.25,20.86,64.57,1.41,0.64,0.28,0.86,0.02,1.1,2.05,333.93
1,11.99,0.98,1.86,18.07,88.02,2.19,1.76,0.36,1.92,2.05,0.8,2.82,224.35
1,11.43,1.73,2.22,17.22,94.68,2.87,2.03,0.14,1.22,2.71,1.11,2.8,271.84
1,11.9,0.89,1.77,17.98,74.22,1.73,1.17,0.23,1.05,1.19,0.87,3.03,434.21
1,11.26,3.46,1.75,18.67,103.44,3.02,2.33,0.21,3.44,2.32,0.69,2.63,483.49
1,11.35,1.25,2.52,24.75,82.63,1.68,1.23,0.35,1.12,1.73,1.27,2.94,443.69
1,11.06,1.82,1.97,14.8,98.31,1.12,0.36,0.31,0.4,0.43,0.74,1.84,198.2
1,10.68,2.67,1.56,16.29,93.28,2.58,1.62,0.12,3.03,0.67,0.53,2.13,259.55
1,11.44,0.34,2.44,16.35,86.93,1.89,1.72,0.16,2.07,1.9,0.68,2.73,364.14
1,12.12,0.86,2.47,17.06,93.57,2.23,2.34,0.33,1.9,3.88,1.12,2.08,580.36
1,11.84,2.55,2.06,16.14,80.03,2.5,2.43,0.38,2.49,1.01,1.29,2.43,230.19
1,12.03,1.05,1.89,14.93,80.43,2.35,2.18,0.25,1.59,2.16,1.16,2.51,327.22
1,12.02,0.46,1.24,9.15,81.82,1.71,0.14,0.23,0.17,0.95,0.95,1.51,383.7
1,12.68,1.51,2.26,20.64,79.76,1.37,1.44,0.58,1.61,3.01,0.96,2.05,489.79
1,11.92,3.75,2.56,24.46,93.28,1.82,1.52,0.35,1.36,0.67,0.78,2.69,172.81
1,11.87,2.26,2.08,16.29,80.69,2.13,1.74,0.19,1.7,0.96,1.03,2.94,128.72
1,11.46,3.74,2.25,19.31,74.75,2.54,2.52,0.15,2.62,1.62,0.63,3.28,220.23
1,13.24,1.32,2.16,22.98,82.65,1.69,1.54,0.23,0.86,3.03,0.91,2.56,376.13
1,11.13,0.69,2.54,18.03,85.59,2.37,2.33,0.22,2.15,1.29,0.83,2.84,494.67
1,12.23,1.44,2.25,23.93,85.57,2.11,2.28,0.38,1.8,1.73,0.85,2.66,288.44
1,12.27,0.88,1.79,17.13,82.12,1.19,0.95,0.24,1.11,1.5,0.95,2.48,432.37
1,12.68,1.25,2.5,28.74,133.6,3.06,2.51,0.16,1.74,2.47,1.22,3.23,865.88
1,11.84,4.27,2.38,20.89,81.51,2.84,3,0.21,2.89,2.72,0.74,3.62,369.29
1,12.51,1.52,2.13,17.94,82.33,2.04,2.27,0.23,1.62,3.3,1.1,2.96,633.03
1,11.95,0.51,2.01,17.64,66.9,0.81,0.54,0.47,1.09,0.92,0.75,1.41,206.11
1,11.84,1.75,1.62,16.53,92.84,2.05,1.88,0.22,1.23,2.62,1.2,2.75,618.21
1,12.29,0.83,1.33,10.26,86.56,1.92,0.47,0.27,0.36,1.72,1.03,1.75,488.25
1,11.41,1.53,1.83,14.95,92.52,1.41,1.26,0.3,0.97,3.07,1.16,1.92,329.22
1,12.12,3.07,2.2,20.61,90.8,2.38,1.84,0.34,1.54,0.91,1.03,2.62,238.04
1,11.83,0.39,1.98,16.78,77.49,3.08,2.43,0.11,1.49,2.91,1.07,2.4,210.22
1,11.18,1.88,2.72,17.61,92.78,1.3,1.31,0.51,0.64,2.14,1.07,1.99,381.56
1,11.98,1.01,1.8,18.34,75.75,1.79,1.27,0.24,1.11,1.44,0.89,3.11,468.01
1,11.69,0.51,2.04,18.46,72.99,2.17,2.24,0.28,1.25,1.83,0.48,2.19,65.21
1,11.69,0.1,1.73,12.15,124.66,1.4,1.06,0.25,2.31,1.56,0.88,1.75,499.97
1,12.33,2.43,2.46,20.95,97.8,2.55,2.1,0.34,1.3,2.77,0.8,3.37,433.56
1,12.42,1.09,1.84,17.75,84.81,1.31,1.14,0.26,1.22,1.93,0.99,2.61,491.75
1,13.31,0.76,2.48,22.74,76.35,2.53,2.19,0.13,1.48,1.81,1.21,2.68,197.21
1,10.4,0.64,1.99,18.9,73.87,1.97,1.39,0.42,1.56,0.09,1.53,2.32,161.7
1,11.61,0.85,2.12,20.54,80.32,1.36,1.01,0.35,1.17,0.88,1.18,1.78,281.66
1,12.04,0.61,1.99,17.13,82.14,3.26,3.34,0.19,1.72,3.55,0.95,2.48,530.87
1,12.13,0.65,1.85,14.69,90.97,1.62,0.78,0.45,0.26,4.28,0.84,1.14,250.88
1,11.53,1.07,2.13,16.23,71.29,1.17,0.82,0.44,1.25,0.82,0.92,1.79,265.82
1,11.33,1.23,2.51,24.7,82.42,1.68,1.22,0.35,1.12,1.69,1.27,2.93,439.07
1,12.27,0.81,1.33,10.2,86.27,1.9,0.45,0.26,0.35,1.67,1.02,1.73,481.95
1,11.17,1.41,2.3,19.65,75.66,1.58,1.11,0.41,1.02,1.45,0.87,2.34,496.07
1,11.89,1.07,2.08,18.77,96.05,0.8,0.53,0.31,1.18,1.92,0.796,1.47,716.67
1,10.56,0.87,2.04,19.58,76.79,2.1,1.6,0.45,1.68,0.57,1.58,2.46,225.97
1,11.41,0.47,2.27,19.75,72.25,2.05,1.47,0.33,0.57,0.99,0.74,2.61,125.96
1,12.14,0.72,1.88,14,132.58,1.75,1.61,0.32,2.62,2.84,1.01,2.14,674.56
1,12.22,1.33,1.88,19.3,79.87,1.98,1.56,0.28,1.27,2.11,0.96,3.32,558.93
1,12.29,1.22,2.05,17.02,78.39,1.87,2,0.19,1.47,2.67,1.04,2.76,546.29
1,11.91,1.59,2.26,17.78,77.93,1.47,1.29,0.49,1.52,1.9,1.03,2.12,412.41
1,11.6,3.69,2.23,20.17,72.19,1.76,1.2,0.35,1.04,1.33,0.66,2.18,407.77
